geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_state,region
1037,-23.54562128115268,-46.63929204800168,SP,Southeast
1046,-23.54608112703553,-46.64482029837157,SP,Southeast
1041,-23.5443921648681,-46.63949930627844,SP,Southeast
1035,-23.541577961711493,-46.64160722329613,SP,Southeast
1012,-23.547762303364262,-46.63536053788448,SP,Southeast
1047,-23.54627311241268,-46.64122516971552,SP,Southeast
1013,-23.546923208436723,-46.6342636964915,SP,Southeast
1029,-23.543769055769133,-46.63427784085132,SP,Southeast
1011,-23.547639550320632,-46.63603162315495,SP,Southeast
1032,-23.53841810407414,-46.634778375266734,SP,Southeast
1014,-23.546435343326205,-46.63383023397196,SP,Southeast
1039,-23.54188300998332,-46.63991946670314,SP,Southeast
1024,-23.541389521053937,-46.62989908781218,SP,Southeast
1009,-23.54693540437998,-46.63658792659698,SP,Southeast
1020,-23.55223547100232,-46.6284406588955,SP,Southeast
1043,-23.546656718016017,-46.64078762115524,SP,Southeast
1050,-23.549773516504185,-46.64559900666509,SP,Southeast
1045,-23.541593762969622,-46.64189378810082,SP,Southeast
1007,-23.550392524842728,-46.63730164071784,SP,Southeast
1005,-23.549819091869107,-46.63560588995324,SP,Southeast
1017,-23.55001091199737,-46.63116636914989,SP,Southeast
1019,-23.552151883432384,-46.63080224715792,SP,Southeast
1027,-23.538301166801343,-46.63076391104508,SP,Southeast
1033,-23.54032130474925,-46.636394815973325,SP,Southeast
1006,-23.55052430835593,-46.63669363835193,SP,Southeast
1034,-23.54239162719593,-46.63770927785183,SP,Southeast
1042,-23.54487359810152,-46.64030309449483,SP,Southeast
1040,-23.540316757429707,-46.63735536871719,SP,Southeast
1026,-23.539494799586286,-46.63284391414975,SP,Southeast
1036,-23.541700023861782,-46.64131782056096,SP,Southeast
1048,-23.547448918662464,-46.64016924063704,SP,Southeast
1002,-23.54831797807146,-46.63542110199666,SP,Southeast
1031,-23.536864121011018,-46.63349313820771,SP,Southeast
1022,-23.54498660505508,-46.63345367485142,SP,Southeast
1008,-23.54425493154535,-46.634639135589296,SP,Southeast
1010,-23.547806958346342,-46.63612181853806,SP,Southeast
1003,-23.54903244546711,-46.63531311226845,SP,Southeast
1001,-23.54929199999999,-46.633559478233785,SP,Southeast
1015,-23.544826346129778,-46.63086956396899,SP,Southeast
1038,-23.542679676299095,-46.63819683884986,SP,Southeast
1016,-23.54849512877264,-46.633490627676125,SP,Southeast
1049,-23.54530659310986,-46.636994571065735,SP,Southeast
1021,-23.54516769470249,-46.63224867958328,SP,Southeast
1018,-23.550218647763327,-46.63188,SP,Southeast
1044,-23.54575105023373,-46.64132693574358,SP,Southeast
1030,-23.538363904524203,-46.63293009824575,SP,Southeast
1025,-23.539920936547933,-46.6283479287932,SP,Southeast
1004,-23.550115903139226,-46.63512161420169,SP,Southeast
1023,-23.54260295697964,-46.63094283625709,SP,Southeast
1028,-23.536027749379617,-46.632878533585306,SP,Southeast
1155,-23.52878808243405,-46.664404203300826,SP,Southeast
1122,-23.531280767701485,-46.637260391482464,SP,Southeast
1150,-23.532255303364263,-46.662756071469765,SP,Southeast
1123,-23.529307180131543,-46.63490526351788,SP,Southeast
1139,-23.52076037607479,-46.661384138207694,SP,Southeast
1153,-23.52811869885744,-46.65645154579032,SP,Southeast
1104,-23.535218462115523,-46.62461223313523,SP,Southeast
1136,-23.52350959838998,-46.666944167638064,SP,Southeast
1130,-23.52663823480868,-46.64380970358929,SP,Southeast
1103,-23.53538864556528,-46.631747708436734,SP,Southeast
1156,-23.5298272739339,-46.66466605744709,SP,Southeast
1151,-23.527788191788307,-46.66030962184773,SP,Southeast
1140,-23.517930174303164,-46.66742959008009,SP,Southeast
1120,-23.53076048626577,-46.639216010416,SP,Southeast
1106,-23.53249635607949,-46.62640566388715,SP,Southeast
1124,-23.527367392723217,-46.63188348903572,SP,Southeast
1131,-23.52164183207347,-46.64747554830047,SP,Southeast
